"job_user_id","job_title","job_slug","job_roles","job_source","job_company","job_address","job_image","job_description","job_type","job_salary_min","job_salary_max"
"","","","","","","","","","","",""
"","Full Stack Developer","Full Stack Developer","Full Stack Developer","https://www.kalibrr.id/c/cicilsewa/jobs/166956/full-stack-developer?source=job-board-1-1-15-1534&similar_job_code=1","CicilSewa","South Jakarta, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/JKN4JMWRGU99NN6BUQVHZFK4D86WR6EFJU5MXMRL-6035dfb7.png","Job Description
Work with development teams and product managers to ideate software solutions.
Design client-side and server-side architecture.
Build the front-end of applications through appealing visual design.
Develop and manage well-functioning databases and applications.
Test software to ensure responsiveness and efficiency.
Troubleshoot, debug, and upgrade software.
Create security and data protection settings.
Build features and applications with a mobile responsive design.
Write Technical Documentation
Minimum Qualifications
Proven experience as a Full Stack Developer or similar role.
Experience in developing full-stack REST-ful web and mobile applications.
Knowledge of front-end languages is required (e.g. HTML/CSS, JavaScript).
Knowledge of front-end frameworks is preferred (React.js, Vue.js, Angular.js).
Knowledge of multiple back-end languages (e.g. PHP, Python, C++).
Knowledge of back-end frameworks is preferred (e.g. Laravel, Node.js, Django, Flask).
Familiarity with databases (SQL & NoSQL), web servers (NGINX, supervisor/hypervisors), and CI/CD tools are preferred.
Basic UI/UX knowledge and ability to design user-oriented features.
Excellent Communication and Teamwork Skills
Great Attention to Detail
Organizational Skills
An Analytical Mind
Degree in Computer Science, or relevant field.
Perks and Benefits
Employee Discounts
Flexitime
Maternity & Paternity Leave
Medical / Health Insurance
Work from Home
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Often
Office Address
Jl. Bangka XI, Mampang Prapatan, Jakarta Selatan
Vacancy
1 opening
Website
https://cicilsewa.id/","Full time","5,000,000","10,000,000"
"","Data Engineer","Data Engineer","Data Engineer","https://www.kalibrr.id/c/nomura-research-institute/jobs/176230/data-engineer?source=job-board-1-2-15-1534&similar_job_code=0","Nomura Research Institute Indonesia","Jakarta Pusat, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/27M6TT4QJAZZBCS4S27Z4ZE5HXK8UH89CAVVDDSJ-5fcdf99e.png","Job Description
Perform data exploration, data cleaning, data imputation, and feature engineering on unstructured and structured data.
Build the infrastructure for optimal extraction, transformation, and loading (ETL) of data from a wide variety of data sources.
Develop and maintain optimal data pipeline architecture for training statistical and machine learning models such as regression and classification.
Develop and maintain evaluations to measure the effectiveness of training data. This includes measuring the capabilities of models on a variety of tasks and domains.
Collaborate with data scientists and machine learning engineers to develop a comprehensive data science/machine learning solution pipeline.
Minimum Qualifications
What you need to have (Minimum Qualifications):
Bachelor's degree from computer science or related fields, or equivalent software engineering experience.
Proficiency in Python programming language
Experience in dataset processing and feature engineering using tools such as Numpy, Pandas, and Scikit-Learn
Visualization skills using tools such as Matplotlib, Seaborn, and Bokeh
Understanding of deep learning frameworks such as Pytorch and TensorFlow
Understanding of SQL and NoSQL
Understands Hadoop / Spark / Kafka / Hive / Presto
Proficiency in source control i.e. Git
Preferred:
What would make you stand out from the crowd (Preferred Qualifications):
Deep understanding of Object-Oriented Programming (OOP) concepts such as inheritance, delegation, and abstract class
Understanding of cloud-native technologies such as AWS, GCP, and Azure
Experience in using Docker
Experience in using AWS services such as S3, EC2, Glue, Sagemaker
Experience in AWS Step Function and/or AWS Lambda is even better
Proficiency in Scala and Java programming languages
Enjoy iterating quickly with research prototypes and learning new technologies
Perks and Benefits
Performance Bonus
Transportation Allowances
Work from Home
Other
WFH Allowance
BPJS Kesehatan
BPJS Ketenagakerjaan
Medical Reimbursement
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Karet Tengsin Kel., Tanah Abang
Vacancy
1 opening
Website
https://www.nri.co.id/","Full time","10,000,000","20,000,000"
"","Selenium Specialist","Selenium Specialist","Selenium Specialist","https://www.kalibrr.id/c/pt-mindo-small-business-solution/jobs/174630/selenium-specialist?source=job-board-1-3-15-1534&similar_job_code=1","PT. Mindo Small Business Solution","Yogyakarta, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/WVKJAYSA45QAE2X4KXB4884884RX63BVDXXFEMSU-5fc5d34e.png","Job Description
Provide operation helpdesk service
Operate, validate & troubleshoot data quality issues
Research, interpret & analyze patterns and trends in large data sets
Create automation scripts for research & analysis purposes.
Present findings and deliver potential business & product improvements
Minimum Qualifications
We are currently looking for Selenium Specialist Staff for our Yogyakarta office. As part of Mindo's Property Operations & Enhancement team, you will be responsible for operating, validating and analyzing data for our American clients and above all working to deliver professional and great service to a growing website.
Requirements:
Strong verbal and written English skill (will work in English language environment)
Strong proactivity, problem-solving, analytical & critical thinking
Ability to translate business needs into product requirements
Ability to work under pressure and fast-paced working environment
Strong Selenium skill is a must
Comprehending SQL, API, Python, Google Application is required.
Having experience in internet research & big data analysis job is a plus
Applicants must be willing to work in Yogyakarta
Jobs Summary
Job level
Entry Level / Junior, Apprentice
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Often
Office Address
Wirogunan Kel., Mergangsan
Vacancy
1 opening
Website
https://mindosolutions.com/","Full time","2,500,000","5,000,000"
"","Field Operations (Surabaya)","Field Operations (Surabaya)","Field Operations (Surabaya)","https://www.kalibrr.id/c/pt-majoo-teknologi-indonesia/jobs/176628/field-operations-surabaya?source=job-board-1-4-15-1534&similar_job_code=1","PT Majoo Teknologi Indonesia","Surabaya, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/43WRXV4E942XHQ444TCR3GYZS72FVCX84PZE8VSJ-5e33c694.png","Job Description
Melakukan instalasi beserta pengaturan software dan hardware majoo.
Memberikan edukasi (training) kepada staff /manager/ owner mengenai cara penggunaan sistem aplikasi majoo secara komperhensif.
Penempatan Kota Surabaya
Minimum Qualifications
D3/S1 Teknologi Informasi atau Sistem Informasi
Pengalaman 1 tahun bekerja sebagai teknisi lapangan di bidang teknologi informasi atau point of sales (POS).
Memiliki SIM C dan memiliki kendaraan bermotor
Berpengalaman melakukan proses maintenance hardware / software
Memiliki kemampuan komunikasi yang baik
Memiliki pengalaman di industri POS (Point of Sales) menjadi nilai tambah
Domisili Surabaya
Perks and Benefits
Medical / Health Insurance
Performance Bonus
Transportation Allowances
Jobs Summary
Job level
Entry Level / Junior, Apprentice
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Often
Office Address
Surabaya, East Java (Jawa Timur), Indonesia
Vacancy
1 opening
Website
https://www.majoo.id/","Full time","2,000,000","4,000,000"
"","Front End Developer","Front End Developer","Front End Developer","https://www.kalibrr.id/c/it-s-a-virus/jobs/167444/front-end-developer?source=job-board-1-5-15-1534&similar_job_code=1","Itsavirus","Badung, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/3X6WS56U527VLN8FGXTLS69BBVHQUP433ZT9HHGT-5fffeff9.png","Job Description
Summary
As a Front-end Developer you will combine the art of design with the art of programming. Your Responsibilities will include translation of the UI/UX design wireframes to actual code that will produce visual elements of the application. You will work with the UI/UX designer and bridge the gap between graphical design and technical implementation, taking an active role on both sides and defining how the application looks as well as how it works.
Your responsibilities will include translation of the UI/UX design wireframes to actual code that will produce visual elements of the application. You will work with the UI/UX designer and bridge the gap between graphical design and technical implementation, taking an active role on both sides and defining how the application looks as well as how it works. In details :
Develop new user-facing features
Build reusable code and libraries for future use
Ensure the technical feasibility of UI/UX designs
Optimize application for maximum speed and scalability
Assure that all user input is validated before submitting to backend
Collaborate with other team members and stakeholders.
Minimum Qualifications
Candidates must possess at least a Diploma, Bachelor’s Degree in Engineering (Computer/Telecommunication) or equivalent.
Required language(s): Indonesia, English.
Required skill(s): React, Git, HTML, JavaScript, CSS, jQuery
Have experience working with state management (Redux or Mobx)
Experience working with agile methodology (Scrum)
Familiar with React Native are preferred.
Experience in automated testing is preferred.
And on top of that, you are someone who is fun to work with, have a decent personality and kind hearted.
Perks and Benefits
Child Care Benefits
Paid Bereavement/Family Leave
Flexitime
Free Lunch or Snacks
Housing
Maternity & Paternity Leave
Medical / Health Insurance
Paid Holidays
Paid Vacation Leave
Relocation Assistance
Paid Sick Leave
Other
Education Budget
Company Barbeque and Company Trip
Nice swimming pool and rice field view
Preferred Courses
Computer Science [Software Technology]
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Often
Office Address
Jalan Raya Babakan Canggu, Badung 80365, Indonesia
Vacancy
3 openings
Website
https://www.itsavirus.com/","Full time","7,000,000","12,000,000"
"","Software Quaility Assurance (QA) Internship","Software Quaility Assurance (QA) Internship","Software Quaility Assurance (QA) Internship","https://www.kalibrr.id/c/pricebook-co-ltd/jobs/164680/software-quaility-assurance-qa-internship?source=job-board-1-6-15-1534&similar_job_code=1","PT Pricebook Digital Indonesia","South Jakarta, Indonesia","https://rec-data.kalibrr.com/logos/ECF6JN9LP9DG9Q67SUFFXC24EPK4VFWBMWRFRGDQ-5c47f75d.png","Job Description
Create detailed, comprehensive, and well-structured test plans and test cases
Estimate, prioritize, plan and coordinate testing activities
Perform thorough testing
Oversee bug reporting, tracking, and communication with the team
Ability to analyze failures and able to find the root cause and follow-up with the development team
Minimum Qualifications
Good personality and can work together as a team
Candidate must be enrolled in Bachelor of Computer / Informatics Engineering / Informatics System (final year)
Self-learning, discipline, creativity, good analysis skill, teamwork, and able to work under pressure
Perks and Benefits
Flexitime
Work from Home
Jobs Summary
Job level
Internship / OJT
Job category
IT and Software
Educational requirement
Graduated from high school
Recruiter response to application
Often
Office Address
Jalan Sungai Sambas 1 No. 108B, Kramat Pela, Kebayoran Baru, Jakarta Selatan - 12130
Vacancy
1 opening
Website
https://www.pricebook.co.id/","Freelance","1,000,000",""
"","Cloud Engineer","Cloud Engineer","Cloud Engineer","https://www.kalibrr.id/c/nomura-research-institute/jobs/176228/cloud-engineer-2?source=job-board-1-7-15-1534&similar_job_code=1","Nomura Research Institute Indonesia","Jakarta Pusat, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/27M6TT4QJAZZBCS4S27Z4ZE5HXK8UH89CAVVDDSJ-5fcdf99e.png","Job Description
Provision, Configure and Maintaining Infrastructure on Cloud Services.
Design & Implement Monitoring tools for System, Application and Infrastructure.
Design & Implement Backup and Recovery of Infrastructure, Database and System.
Responding to incidents, problems and planning for growth.
Design & Build CI/CD pipeline for software deployment.
Infrastructure Design & Technical Documentation.
Domain name & SSL Certificate Management.
Minimum Qualifications
What you need to have (Minimum Qualifications)
Excellent knowledge of Cloud Services such as AWS, GCP, Azure and Alibaba Cloud.
Excellent knowledge of automation IaC such as Ansible, CloudFormation, Terraform, Shell Scripting.
Excellent knowledge in Linux, Windows and Mac platforms.
Excellent knowledge in using NGINX.
Excellent knowledge in administration of different databases. Relational such as PostgreSQL, MySQL, MariaDB or NoSQL such as Elasticsearch, MongoDB, DynamoDB.
Excellent knowledge in network and cloud security.
Excellent knowledge of CI/CD tools such as AWS Codepipeline, Gitlab CI, Jenkins, Azure DevOps.
Experience in monitoring and logging such as Grafana, ELK, Splunk, Zabbix, Prometheus, Fluentd.
Experience in configuration management such as Ansible, Chef, Puppet.
Experience in using Docker, Kubernetes.
Experience in using Git.
Able to work as part of a team or alone.
Can efficiently organize and prioritize tasks.
Can confidently identify and solve technical problems unaided and in a timely fashion.
Required language(s): English
Preferred:
What would make you stand out from the crowd (Preferred Qualifications)
Knowledge of cybersecurity.
Experienced in infrastructure and security assessment.
Experience in system and server migration.
Perks and Benefits
Performance Bonus
Transportation Allowances
Work from Home
Other
WFH Allowance
BPJS Kesehatan
BPJS TK
Medical Reimbursement
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Karet Tengsin Kel., Tanah Abang
Vacancy
1 opening
Website
https://www.nri.co.id/","Full time","10,000,000","20,000,000"
"","Lead Software Engineer","Lead Software Engineer","Lead Software Engineer","https://www.kalibrr.id/c/tinkerlust/jobs/175464/lead-software-engineer-2?source=job-board-1-8-15-1534&similar_job_code=0","Tinkerlust","South Jakarta, Indonesia","https://s3-ap-southeast-1.amazonaws.com/kalibrr-company-assets/logos/WC8FC5F9ZM66BKSUHMVC-5877ef52.jpg","Job Description
As a Lead Software Engineer at Tinkerlust, you will be supporting your VP of Technology to achieve the objectives of your squad. In addition to solving complex problems and building features, you will also:
Manage 1-3 engineers in your squad and be responsible for their growth
Coach engineers
Prepare execution strategy for stories
Contribute to our internal platforms in terms of tooling and capabilities
Work with stack which includes Ruby on Rails, Next.js and React.js
Minimum Qualifications
Bachelor/Master’s Degree in Computer Science or related major
Minimum 1 year of experience leading and managing several engineers
Minimum 3-5 years of professional experience in software engineering
Experience building software systems with reasonable complexity
Several years of experience sharpening your capabilities in a specific field (web, mobile or backend)
Experience with using Ruby on Rails, Next.js and React.js
Additional breadth of experience in any other platforms
Able to articulate good software engineering practices
Experience applying software engineering practices in their teams
Experience managing stakeholders with good communication and coordination skills
Perks and Benefits
Flexitime
Free Lunch or Snacks
Maternity & Paternity Leave
Medical / Health Insurance
Paid Holidays
Paid Sick Leave
Special Leave Benefits for Women
Work from Home
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Often
Office Address
Jl Sisingamangaraja No.11-A, RT.2/RW.8, Gunung, Kebayoran Baru. Jakarta Selatan
Vacancy
1 opening
Website
http://www.tinkerlust.com/","Full time","10,000,000","20,000,000"
"","Android Developer","Android Developer","Android Developer","https://www.kalibrr.id/c/wirecard/jobs/167719/android-developer?source=job-board-1-9-15-1534&similar_job_code=1","PT. Prima Vista Solusi","South Jakarta City, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/G8AWXEMNCRNU7CCV5BGR6ZU47ZPM6LWT7X9YERCU-5fcf1b78.png","Job Description
Develop and test software applications.
Install, customize and maintain operating systems software including installing and testing new releases.
Minimum Qualifications
Bachelor Degree in Information Technology/related from reputable university with GPA > 3.00.
Proficiency at least one of following programming language: C++/C, Java, C#, ASP in Android
Working knowledge of at least one of the following: SQL, MySQL, Oracle.
Fresh graduates are welcome to apply.
Perks and Benefits
Medical / Health Insurance
Jobs Summary
Job level
Entry Level / Junior, Apprentice
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Often
Office Address
Menara Mulia, Karet Semanggi, South Jakarta City, Jakarta, Indonesia
Vacancy
1 opening
Website
http://www.primavista-solusi.com","Full time","6,000,000","7,000,000"
